"Composer";"Arranger";"title";"subtitle";"choirvoice_name";"solovoice_name";"Instrument_name";"Language_name";"Author";"theme_name";"holiday_name";"movements";"category_name";"notes";"copies"
"Adolphson_Olle";"Lundén-Welden_Gunnar";"Det gåtfulla folket";;"SSAATTBB";;;;;"Dop";;;;;
"Adolphson_Olle";;"Koral";"När nöd och mörker rår";"SSATB";;;;;"Hopp";;;;;
"Adolphson_Olle";;"Mässa på svenska språket";;"SSAATTBB";"S A T";;;;;;;"Mässa";;
"Adolphson_Olle";;"Nu har jag fått den jag vill ha";"Körvisor 4";"SSAATB";"Röst";"Gitarr";;;;;;;;
"Adolphson_Olle";;"Nu kommer kvällen";"Körvisor 4";"SSATB";;;;;"Hopp";;;;;
"Adolphson_Olle";;"Flicka ligg nära";"Körvisor 4";"SATBB";"Röst";;;;"Kärlek";;;;;
"Adolphson_Olle";;"Trubbel";;"SSAATBB";"Röst";"Piano";;;"Kärlek";;;;;
"Agnestig_Carl-Bertil";"Oldgren_Karin";"Adventstid";;"SATBB,SSATB";;;"Svenska";;;"Advent";;;;
"Beethoven_Ludwig van";;"I himlar,sjungen";"Beethovens lovsång";"SATB";;"Orgel";;"Gellert_C F";"Lovsång";;;;;31
"Ahnfelt_Oscar";"Frisk_Sven-Inge";"Nåden, var morgon ny";;"SATB";;;"Svenska";"Ahnfelt_Oscar";;;;;;
"Ahnfelt_Oscar";"Frisk_Sven-Inge";"Staden där ovan";;"SATB";;;"Svenska";"Ahnfelt_Oscar";;;;;"Står i häftet Nåden var morgon ny";
"Aleotti_Raphaella";;"Surge,propera amica mea";;"SATB+SATB";;;"Latin";"Bibel";"Kärlek";;;;"Höga visan";40
"Alfvén_Hugo";;"Julsång";;"SSAATTBB";;;"Svenska";"Nyblom_Knut";"Jul";;;;;39
"Allegri_Gregorio";;"Miserere";;"SSATB";"S A T B";;"Latin";;;;;;;40
"Andersson_Benny";"Oldgren_Karin";"Anthem";;"SSAATB";"Röst";"Piano";"Engelska";"Ulveaus_Björn,Rice_Tim";"Kärlek";;;;"Musikal";40
"Andersson_Benny";"Eljas_Anders";"Anthem";;"SSAATTBB";;;"Engelska";"Ulveaus_Björn,Rice_Tim";"Kärlek";;;;"Musikal";25
"Andersson_Benny";"Arnberg_Göran";"Anthem";;"SSAATBB";"Röst";"Orgel";"Engelska";"Ulveaus_Björn,Rice_Tim";"Kärlek";;;;"Musikal";42
"Andersson_Benny";"Eljas_Anders";"Klinga mina klockor";;"SSATB";;"Piano";"Svenska";"Ulvaeus_Björn";;;;;;20
"Andersson_Benny";"Ericsson_Bo";"Var hör vi hemma";;"SAATTBB";;;"Svenska";"Ulvaeus_Björn";;;;;"Musikal";22
"Andersson_Benny";"Eljas_Anders";"Vilar glad i din famn";;"SSATB";;"Piano/orgel";"Svenska";"Lugn_Kristina";"Kärlek";;;;;41
"Andersson_Benny";"Arnberg_Göran";"Kärlekens tid";;"SATB";;"Kontrabas";"Svenska";"Eggehorn_Ylva";"Kärlek,Bön";;;;"Musikal";14
"Andersson_Benny";"Arnberg_Göran";"En skrift i snön";;"SATB";"Röst";"Piano";"Svenska";"Lugn_Kristina";;;;;;18
"Andersson_Ditte";;"Bön av den heliga Birgitta";;"SATB+församling";;;"Svenska";"Den heliga Birgitta";"Bön,Efterföljelse";"Bönsönd,Septuagesima,Marie bebåd.,Apostladagen,2 s e Tref,6 s e Tref.,8 s e Tref.,19 sö e Tref.,18 s e Tref";;;;39
"Andersson_Olof";;"Mässmusik";;"SSSAAATTTBBB";;;"Latin";"Mässordinariet";"Lovsång,Allmänt";;2;"Mässa";;
"Andersson_Reinhold";;"Herren är min herde";;"SATB";;;"Svenska";"Bibel";;"3 i påsktiden";;;"Psaltarpsalm";63
"Andersson_Tina";;"The Angel";;"SATB div";"S";;"Engelska";"Lermontov_Michail";;;;;;40
"Anerio_Felice";;"Alleluia,Christus surrexit";;"SATB";;;"Latin";;"Påsk";"Påskdagen";;;;21
"Anerio_Felice";;"Kristus blev för vår skull lydig";;"SATB";;;"Latin,Svenska";;"Passionstid,Stilla veckan";"Långfredagen";;;;20
"Ankarblom_Nils-Petter";;"Lussepolska";;"SATB";;;"Svenska";"Beurling_Tea-Louice";"Lucia";;;;;20
"Anonymus";;"Alta Trinita Beata";;"SATB";;;"Latin";;;;;;"Precession";40
"Anonymus";;"Gud Fader,då han såg vår nöd";;"SATB";;;"Latin";;"Fastan,Passionstid,Stilla veckan";"Långfredagen";;;;28
"Anonymus";;"I stilla fastetider";;"SATB";;;"Svenska";"Lindström_E";"Fastan,Passionstid,Stilla veckan";"Långfredagen";;;;40
"Anonymus";;"Kom,Helge Ande,Herre god";"ur Pie Cantiones";"SATB";;;"Svenska";;"Pingst";"Pingstdagen,Annandag pingst";;;"Pie Cantiones";40
"Arcadelt_Jakob";;"Ave Maria,gratia plena";;"SATB";;;"Latin";"Bibel";"Herrens moder,Jungfru Maria";"Marie bebåd.,4 advent";;;;40
"Arcadelt_Jakob";;"O,kom,Guds Ande god";;"SATB";;;"Svenska";;"Pingst,Allmänt,Ande";"Annandag pingst,Pingstdagen";;;;20
"Arnesen_Kim André";;"Even When He is Silent";;"SSAATTBB";;;"Engelska";;"Hopp,Förtröstan,Tröst,Kärlek,Tvivel";;;;;20
"Arpåker_Martin";;"Missa brevis";;"SSAATBB";;;"Latin";"Mässordinariet";;;2;"Mässa";;20
"Asmussen_Svend";"Hallberg_Bengt";"Oh what a day";;"SATB";;"Piano";"Engelska";;"Lovsång,Glädje";"Tacksägelsed,Påskdagen,Påsknatten";;;;20
"Atterberg_Kurt";;"Ave maris stella";"ur scenmusik till ""Syster Beatrice"",Maurice Matterlinck";"SATB";;;"Latin";;"Jungfru Maria,Herrens moder";"Marie bebåd.,4 advent";;;;20
"Bach_Johann Sebastian";;"I djupet av mitt hjärta";"ur Johannespassionen";"SATB";;;"Svenska";;"Stilla veckan";"Långfredagen";;;;15
"Bach_Johann Sebastian";;"Såsom hjorten längtar";;"SSATB";;;"Svenska";"Bibel";"Förtröstan";;;;"Psaltarpsalm";15
"Bainton_Edgar L";;"Och jag såg en ny himmel";;"SATB";;"Orgel";"Svenska";"Bibel";"Förtröstan,Hopp,Tröst";"Domssöndagen";;;;24
"Bainton_Edgar L";;"And I saw a new heaven";;"SATB";;"Orgel";"Engelska";"Bibel";"Förtröstan,Hopp,Tröst";"Domssöndagen";;;;24
"Barber_Samuel";;"Agnus Dei";;"SSAATTBB";"S";;"Latin";"Mässordinariet";;;;;;39
"Beamish_Sally";;"In the stillness";;"SATB";;;"Svenska";"Shepherd_Katrina";"Jul";"Juldagen";;;;40
"Becker_Albert";;"Uti din nåd";;"SATB";;;"Svenska";;"Allmänt,Förtröstan,Hopp,Tröst";;;;;20
"Béen_L M";;"Sköna maj,välkommen";;"SATB";;;"Svenska";"Runeberg_J L";"Vår";;;;;25
"Beethoven_Ludwig van";;"I himlar,sjungen";"Beethovens lovsång";"SATB";;"Orgel";;"Gellert_C F";"Lovsång";;;;;31
"Britten_Benjamin";;"Five flower songs";;"SATB";;;;"Herrick_Crabbe";"Vår";;;;;
"Trad";"Alfvén_Hugo";"Och jungfrun går i ringen";;"SATB";;;;;;;;;;
"Trad";"Eriksson_Gunnar";"Ge mig en dag";"Österlenvisan";"SSAATTBB";;;;;"Allmänt";;;;;
"Trad";"Ahlenius_Johan";"Bred dina vida vingar";;"SAA";;"Orkester";"Svenska";"Sandell_Lina";"Förtröstan,Hopp,Begravning";;;;"Sv ps 190";
"Trad";"Alfvén_Hugo";"Glädjens blomster";;"SAATB";;;"Svenska";"Trad";"Begravning,Allmänt,Vår";;;;;1
"Trad";"Alfvén_Hugo";"Vallvisa";"Limu,limu lima ";;;;"Svenska";"Trad";"Allmänt,Sommar";;;;;3
"Trad";"Alfvén_Hugo";"Ut i vår hage";"Folkvisa från Gotland";"SAATBB";;;"Svenska";"Trad";"Allmänt,Sommar,Vår";;;;;3
"Trad";"Alldahl_Per-Gunnar";"Se vår nya glädje här";"ur Piae Cantiones";"SSAATBB";;;"Svenska";"Torvalds_Ole";"Jul";"Juldagen";;;;36
"Trad";"Ahlenius_Johan";"O,store Gud";"Sv Ps ";"SATB";;"Orkester";"Svenska";;"Allmänt,Förtröstan,Glädje,Hopp,Lovsång";;;;;25
"Trad";"Ahlenius_Johan";"Oändlig nåd";;"SATB";"Röst";"Orkester";"Svenska";;"Allmänt,Hopp";;;;;25
"Trad";"Bartók_Béla";"Four slovak folk songs";;"SATB";;"Piano";"Ungerska";;;;;;;25
"Berg_Daniel";;"Stars";;"SSAATTBB";;"Marimba,Percussion";;;;;;;;2
"Berg_Gottfrid";;"Ack,Herre Jesu,hör min röst";;"SATB";;;"Svenska";"Trad";"Tröst,Nåd";;;;"Ps 63 i gamla psalmboken";12
"Berg_Gottfrid";;"Fröjda dig,du dotter Sion";;"SAB";;;"Svenska";"Bibel";;"1 advent";;;"I samma box som Han blev plågad";31
"Berg_Gottfrid";;"Han blev plågad";;"SAB";;;"Svenska";"Bibel";"Passionstid";"Långfredagen";;;"I samma box som Fröjda dig,du dotter Sion";31
"Berg_Gottfrid";;"Du evige förbarmare";;"SATB";;;"Svenska";;"Nattvard";;;;"I sammabox som Ack,mildaste Jesu";23
"Berg_Gottfrid";;"Människan,av kvinna född";;"SATB";;;"Svenska";"Bibel";"Sorg,Tvivel";"Alla helgons d";;;"I samma box som Lär oss betänka huru få våra dagar äro";24
"Berg_Gottfrid";;"Gud låter sina trogna här";;"SATB";;;"Svenska";;"Allmänt,Förtröstan,Nåd,Tröst";"Mikaels d";;;"I samma box som Giv,o himmelske fader";36
"Berg_Gottfrid";;"Giv,o himmelske Fader";;"SATB";;;"Svenska";;"Allmänt,Förtröstan,Nåd,Tröst";"3 i fastan.";;;"I samma box som Gudlåter sina trogna här";24
"Berg_Gottfrid";;"Veni creator";;"SATB";;;"Svenska";;"Ande";"Pingstdagen";;;"Ingår i häftet Tre latinska hymner";31
"Berg_Gottfrid";;"Miserere";;"SAT";;;"Svenska";;"Passionstid";"1 i fastan.,2 i fastan.,3 i fastan.,5 i fastan.,Askonsd.,Skärtorsd,Långfredagen";;;"Ingår i häftet Tre latinska hymner";31
"Berg_Gottfrid";;"Ave Maria";;"SATB";;;"Svenska";;"Bön,Herrens moder,Jungfru Maria";"1 i fastan.,2 i fastan.,3 i fastan.,5 i fastan.,Askonsd.,Skärtorsd,Långfredagen,4 advent";;;"Ingår i häftet Tre latinska hymner";31
"Bingham_Judith";;"The drowned lovers";;"SSSAAATTTBBB";;;"Engelska";"Coleridge_Mary E";"Kärlek";;;;;19
"Trad";"Bjarnegård_Gustaf";"Fyra sånger om Maria";"Var hälsad  Herrens Moder,Jungfru Maria till Betlehem gick,Maria gick av sorger böjd";"SAB,SATB";;;"Svenska";;"Herrens moder,Passionstid";"Marie bebåd.,Långfredagen";;;;9
"Bjarnegård_Gustaf";;"De som så med tårar";;"SATB";;;"Svenska";"Bibel";"All helgona";"Alla helgons d";;;;29
"Blom_Oskar";;"Krist är uppstånden";;"SATB";;;"Svenska";;"Påsk,Uppståndelse";"Påskdagen,Påsknatten,2 i påsktiden,3 i påsktiden,4 i påsktiden,5 i påsktiden";;;;33
"Boldemann_Laci";"Öhrwall_Anders";"Tre fasliga fåglar";;"SATB";"Röst";"Piano";"Svenska";"Hallqvist_Britt-G";;;;;;31
"Boldemann_Laci";"Öhrwall_Anders";"Mopsen";;"SATB";;"Piano";"Svenska";"Hallqvist_Britt-G";;;;;;35
"Trad";"Bond_Anders";"Bereden väg för Herran";;"SATB";;;"Svenska";;"Advent";"1 advent,2 advent,3 advent,4 advent";;;;60
"Bond_Anders";;"Herre,till vem skulle vi gå?";;"SATB";;"Orgel,Piano";"Svenska";"Bibel";;"4 e trettond";;;"Ingår i Sju Sakrala Sånger";1
"Bond_Anders";;"Genesarets sång";;"Solo,Unison,SATB";;"Orgel,Piano";"Svenska";"Rönnegård_Sam";;;;;"Ingår i Sju Sakrala Sånger";1
"Bond_Anders";;"En såningsman gick ut att så";;"SATB";;"Orgel,Piano";"Svenska";"Rönnegård_Sam";;"Sexag.";;;"Ingår i Sju Sakrala Sånger";1
"Bond_Anders";;"Via dolorosa";;"SAB";;;"Svenska";"Rönnegård_Sam";"Passionstid";"Sexag.,Långfredagen";;;"Ingår i Sju Sakrala Sånger";1
"Trad";"Bond_Anders";"Klinga,själens strängaljud";;"SATB";;;"Svenska";"Evers_Edvard";"Allmänt";"Tacksägelsed";;;"Ingår i Sju Sakrala Sånger";1
"Bossi_Enrico";;"Cantate Domino";;"SSATTBB";;"Orgel";"Latin";"Bibel";"Allmänt,Advent";;;;;80
"Bowie_David";"Oldgren_Karin";"Life on mars";;"SAATB";"Röst";"Piano";"Engelska";"Bowie_David";"Allmänt";;;;;40
"Brahms_Johannes";;"Abendlied";;"SATB";;"Piano";"Tyska";;"Allmänt,Kväll,Afton";;;;;20
"Brahms_Johannes";;"Abendständchen";;"SAATBB";;;"Tyska";"Brentano_Clemens";"Allmänt,Afton,Kväll";;;;"ur Drei gesänge Op 42";40
"Brahms_Johannes";;"Fest- und Gedenkspruche";;"SATB+SATB";;;"Tyska";"Bibel";"Allmänt";;2;;;39
"Brahms_Johannes";;"Fünf Gesänge";;"SAATBB,SATBB,SATB";;;"Tyska";;"Allmänt";;2;;;45
"Brahms_Johannes";;"Geistliches Lied";;"SATB";;"Orgel";"Tyska";;"Allmänt";;2;;;40
"Brahms_Johannes";;"I frid och glädje";;"SATB";;;"Svenska";;"Allmänt,Förtröstan,Hopp,All helgona";;;;"Slutkoral ur Warum";20
"Brahms_Johannes";;"Marienlieder";;"SATB,SSATB";;;"Tyska";;"Jungfru Maria";"Marie bebåd.,4 advent";;;;3
"Brahms_Johannes";;"Warum?";;"SATB,SSATBB";;;"Tyska";"Bibel";"Förtröstan,Sorg,Hopp,Tvivel,Allmänt";;;;;40
"Brahms_Johannes";;"Vineta";;"SAATBB";;;"Tyska";;"Allmänt";;;;;40
"Brahms_Johannes";;"Waldesnacht";;"SATBB";;;"Tyska";"Heyse_Paul";"Allmänt,Natur,Afton,Kväll";;;;;33
"Brahms_Johannes";;"Hållplatsdrömmar";"Zigeunerlieder";"SATB";;"Piano";"Svenska";"Ternström_Sten";"Humor,Spex";;2;;;40
"Britten_Benjamin";;"A hymn to the Virgin";;"SATB+SATB";;;"Engelska";"Anonym";;;;;;40
"Britten_Benjamin";;"Advanced Democracy";;"SSAATTBB";;;"Engelska";"Swingler_Randall";"Demokrati,Krig,Motstånd,Mänskliga rättigheter";;;;;46
"Britten_Benjamin";;"A shepherd´s carol";;"SATB";"S A T B";;"Engelska";"Auden_W H";"Vinter";;;;;20
"Britten_Benjamin";;"Jubilate Deo";;"SATB";;"Orgel";"Latin";"Bibel";"Lovsång,Allmänt";;;;;39
"Britten_Benjamin";;"Festival Te Deum";;"SATB";"S";"Orgel";"Latin";"Bibel";"Lovsång,Allmänt,Tacksägelse";;;;;43
"Broderip_John";;"As pants the hart for coolingt streams";;"SATB";;;"Engelska";"Bibel";"Nattvard,Allmänt,Stillhet,Nåd,Morgon,Afton";;;;;20
"Bruckner_Anton";;"Tantum ergo Ass-dur";;"SATB";;;"Latin";"Aquino_Thomas av";"Allmänt,Förtröstan,Lovsång,Nåd,Tacksägelse";;;;;21
"Bruckner_Anton";;"Tantum ergo D-dur";;"SSATB";;;"Latin";"Aquino_Thomas av";"Allmänt,Förtröstan,Lovsång,Nåd,Tacksägelse";;;;;21
"Bruckner_Anton";;"Tantum ergo C-dur";;"SATB";;;"Latin";"Aquino_Thomas av";"Allmänt,Förtröstan,Lovsång,Nåd,Tacksägelse";;;;;21
"Bruckner_Anton";;"Christus factus est";;"SAATB";;;"Latin";"Bibel";"Passionstid,Stilla veckan";"Långfredagen";;;;40
"Bruckner_Anton";;"Os justi";;"SSAATTBB";;;"Latin";"Bibel";"Allmänt,Förtröstan,Hopp,Nåd";;;;;40
"Brumel_Antoine";;"Kyrie ur Missa et ecce terrae motus";;"SSAAATTTBBBB";;;"Latin";;"Allmänt";;;"Mässa";;40
"Busto_Javier";;"Sagastipean";;"SSSAAAATTBB";;;"Baskiska";"Mujika_Inazio";"Allmänt,Glädje,Natur,Sorg";;;;;40
"Buxtehude_Dietrich";;"Cantate Domino";;"SSB";;"Continuo";"Latin";"Bibel";"Lovsång,Tacksägelse";;;;;
"Buxtehude_Dietrich";;"Jesus är min hägnad";;"SAB";"S,B";"Violin 1,Violin 2,Violoncell,Continuo";"Latin";"Trad";"Allmänt,Förtröstan,Hopp,Passionstid";"Julnatten,Juldagen,Annandag jul,Sö e Jul";;;;21
"Buxtehude_Dietrich";;"In dulci jubilo";;"SAB";;"Violin 1,Violin 2,Continuo";"Latin";"Trad";"Jul";"Julnatten,Juldagen,Annandag jul,Sö e Jul";;;;21
"Buxtehude_Dietrich";;"Missa brevis";;"SSATB";;;"Latin";;"Allmänt,Mässa";;;"Mässa";;31
"Buxtehude_Dietrich";;"Befiehl dem Engel,das er komm";;"SATB";;"Violin 1,Violin 2,Violoncell";"Svenska,Tyska,Danska";;"Afton,Allmänt,Bön,Förtröstan,Kväll";;;;;42
"Trad";"Byström_Oscar";"O,Helge ande";;"SATB";;;"Svenska";"Birgitta_den heliga";"Ande,Hopp,Bön,Nåd,Förtröstan,Tröst,Pingst";"Pingstdagen";;;;30
"Byrd_William";;"Prisen vår frälsare";;"SSATB";;;"Svenska";;"Uppståndelse";"Kristi Him";;;;38
"Byrd_William";;"Sing joyfully";;"SSAATB";;;"Svenska";"Bibel";"Allmänt,Glädje,Lovsång";;;;;38
"Byrd_William";;"Terra tremuit";;"SSATB";;;"Latin";"Bibel";;;;;;30
"Byrd_William";;"Confirma hoc Deus";;"SSATB";;;"Latin";"Bibel";"Allmänt,Glädje,Lovsång";;;;;30
"Bäck_Sven-Erik";;"Nattvardspsalm";;"SATB";;;"Svenska";"Hartman_Olov";"Nattvard";;;;;11
"Bäck_Sven-Erik";;"Din stund kommer";;"SSAATTBB";;;"Svenska";"Bibel";;"Domssöndagen";;;;2
"Bäck_Sven-Erik";;"Jag är livets bröd";;"SSATTB";;;"Svenska";"Bibel";"Nattvard,Allmänt";"Midf. Sönd";;;;42
"Bäck_Sven-Erik";;"Natten är framskriden";;"SSAATB";;;"Svenska";"Bibel";"Advent";"1 advent";;;;27
"Bäck_Sven-Erik";;"Se vi gå upp till Jerusalem";;"SSATBB";;;"Svenska";"Bibel";"Fastan";"Fastl.,1 i fastan.,2 i fastan.,3 i fastan.";;;;42
"Bäck_Sven-Erik";;"Ty så älskade Gud världen";;"SABB";;"Orgel";"Svenska";"Bibel";;"Fastl.,20 s e Tref.";;;;42
"Carlstedt_Gunnemar";;"Saliga äro de renhjärtade";;"SAB";;;"Svenska";;"All helgona";"Alla helgons d";;;;24
"Calvisius_Seth";;"Av hjärtat haver jag dig kär";;"SATB";;;"Svenska";;"Allmänt,Förtröstan,Glädje,Hopp,Nåd";;;;;23
"Carlstedt_Gunnemar";;"Herre,vem får bo i Din hydda?";;"SAT";;;"Svenska";"Bibel";"Allmänt,Förtröstan,Tvivel";;;;;
"Carlshamre_Reibjörn";;"Du ger oss av himmelens glädje ";;"SATB div";;;"Svenska";"Lövestam_Christina";"Nattvard";"Midf. Sönd";;;;40
"Carlshamre_Reibjörn";;"Allas ögon";;"SSAATBB";;;"Svenska";"Bibel";"Nattvard,Allmänt";"Midf. Sönd";;;;40
"Carlshamre_Reibjörn";;"En nattvardskoral";;"SAATBB";;;"Svenska";"Burman_Atle";"Nattvard,Allmänt";"Midf. Sönd";;;;40
"Carlshamre_Reibjörn";;"Kring detta bord";;"SATB";;;"Svenska";"Jonson_Jonas";"Nattvard,Allmänt";"Midf. Sönd";;;;40
"Cederberg-Orreteg_Anna";;"Benedicamus";;"SAATTBB";;;"Svenska";"Lövestam_Christina";"Allmänt";;;"Mässa";"Ur Mässa i staden";20
"Cederberg-Orreteg_Anna";;"Benedicamus";;"SSAATB";;"Congas,Handklapp,Djembe,Fotstamp";"Svenska";"Bibel";"Allmänt,Lovsång,Glädje";"Tacksägelsed,Midsommardagen";;"Mässa";"Ur Mässa i staden";20
"Carlshamre_Reibjörn";;"Var stilla min själ";;"SATB";;;"Svenska";"Burman_Atle";"Allmänt,Förtröstan,Kväll,Stillhet";"Sö f domsönd,Domssöndagen";;;;40
"Carlshamre_Reibjörn";;"Magnificat";;"SSAATTBB";;;"Latin,Engelska";"Bibel";"Herrens moder";"4 advent,Marie bebåd.";;;;40
"Carlshamre_Reibjörn";;"Nunc dimittis";;"SAATTBB";;;"Engelska";"Bibel";"Förtröstan,Glädje";"Kyndelsmäss";;;;40
"Carlshamre_Reibjörn";;"Hosianna,du Davids son";;"SATB";;"Orgel";"Svenska";"Hellström_Jan Arvid";"Advent";"1 advent,Palmsönd";;;;40
"Cederberg-Orreteg_Anna";;"Ansikte mot ansikte";;"SSAAAATTBB";;;"Svenska";"Tranströmer_Tomas";"Allmänt";;;;;40
"Cederberg-Orreteg_Anna";;"Minnena ser mig";;"SSSAAATTTBBB";;;"Svenska";"Tranströmer_Tomas";"Allmänt";;;;;40
"Cederberg-Orreteg_Anna";;"Namnet Människa";;"SSSAAATTTBBB";"Recitation";;"Svenska";;"Allmänt,Bön,Hopp,Förtröstan,Demokrati,Guds omsorg,Mänskliga rättigheter";;;;;20
"Cederberg-Orreteg_Anna";;"Mässa i staden";;"SSAATTBB";"Röst";"Percussion,Piano,Orgel";"Svenska";"Lövestam_Christina";"Allmänt";;;"Mässa";;20
"Chadwick_George Whitfield";;"Psalm 42";;"SAATTBB";;"Orgel";"Engelska";"Bibel";"Allmänt,Nattvard";;;;;20
"Charpentier_Marc-Antoine";;"Te Deum";;"SATB";"S A T B";"Continuo";"Latin";"Ambrosius";"Lovsång,Tacksägelse,Allmänt";;;;;4
